time,s4
0.0,0.0
0.1,0.025
0.2,0.1249844
0.3,0.2246094
0.4,0.322985
0.5,0.419116
0.6,0.51202
0.7,0.6007369
0.8,0.6843388
0.9,0.7619398
1.0,0.8327048
1.1,0.8958591
1.2,0.9506957
1.3,0.9965842
1.4,1.032977
1.5,1.059416
1.6,1.075537
1.7,1.081077
1.8,1.075875
1.9,1.059876
2.0,1.033131
2.1,0.9958015
2.2,0.9481536
2.3,0.8905605
2.4,0.8234983
2.5,0.7475424
2.6,0.6633626
2.7,0.5717176
2.8,0.4734484
2.9,0.3694702
3.0,0.2607648
3.1,0.1483705
3.2,0.0333732
3.3,-0.08310456
3.4,-0.1999142
3.5,-0.3158924
3.6,-0.4298724
3.7,-0.5406961
3.8,-0.6472249
3.9,-0.7483522
4.0,-0.843014
4.1,-0.9302003
4.2,-1.008966
4.3,-1.07844
4.4,-1.137836
4.5,-1.18646
4.6,-1.22372
4.7,-1.249129
4.8,-1.262315
4.9,-1.263026
5.0,-1.251129
5.1,-1.226617
5.2,-1.18961
5.3,-1.140353
5.4,-1.079214
5.5,-1.006687
5.6,-0.9233825
5.7,-0.8300242
5.8,-0.7274446
5.9,-0.6165764
6.0,-0.4984441
6.1,-0.374155
6.2,-0.2448893
6.3,-0.1118882
6.4,0.02355712
6.5,0.1601183
6.6,0.2964424
6.7,0.4311657
6.8,0.5629266
6.9,0.6903795
7.0,0.8122085
7.1,0.9271407
7.2,1.03396
7.3,1.131517
7.4,1.218747
7.5,1.294674
7.6,1.358428
7.7,1.40925
7.8,1.446505
7.9,1.469683
8.0,1.478415
8.1,1.472467
8.2,1.451754
8.3,1.416334
8.4,1.366416
8.5,1.302352
8.6,1.224642
8.7,1.133925
8.8,1.030978
8.9,0.9167073
9.0,0.7921408
9.1,0.6584201
9.2,0.5167895
9.3,0.3685845
9.4,0.2152199
9.5,0.05817591
9.6,-0.1010157
9.7,-0.2607864
9.8,-0.4195462
9.9,-0.5756994
10.0,-0.7276604
10.1,-0.8738696
10.2,-1.012809
10.3,-1.14302
10.4,-1.263113
10.5,-1.371788
10.6,-1.467847
10.7,-1.550203
10.8,-1.617899
10.9,-1.67011
11.0,-1.706162
11.1,-1.725533
11.2,-1.727863
11.3,-1.712959
11.4,-1.680799
11.5,-1.63153
11.6,-1.565474
11.7,-1.483124
11.8,-1.38514
11.9,-1.272344
12.0,-1.145716
12.1,-1.006381
12.2,-0.8556045
12.3,-0.6947788
12.4,-0.5254097
12.5,-0.3491035
12.6,-0.1675518
12.7,0.01748434
12.8,0.2041916
12.9,0.390722
13.0,0.5752107
13.1,0.7557947
13.2,0.9306315
13.3,1.097917
13.4,1.255907
13.5,1.402928
13.6,1.537404
13.7,1.657867
13.8,1.762973
13.9,1.85152
14.0,1.922457
14.1,1.974902
14.2,2.008145
14.3,2.021663
14.4,2.015124
14.5,1.988394
14.6,1.941537
14.7,1.874822
14.8,1.788717
14.9,1.683887
15.0,1.561194
15.1,1.421684
15.2,1.266583
15.3,1.097285
15.4,0.9153384
15.5,0.7224351
15.6,0.5203921
15.7,0.3111363
15.8,0.09668547
15.9,-0.1208702
16.0,-0.3393888
16.1,-0.5566975
16.2,-0.7706139
16.3,-0.9789675
16.4,-1.179622
16.5,-1.370496
16.6,-1.549587
16.7,-1.714987
16.8,-1.864908
16.9,-1.997699
17.0,-2.111862
17.1,-2.206072
17.2,-2.279188
17.3,-2.330269
17.4,-2.358586
17.5,-2.363629
17.6,-2.345116
17.7,-2.302995
17.8,-2.237453
17.9,-2.14891
18.0,-2.038021
18.1,-1.905671
18.2,-1.752968
18.3,-1.581233
18.4,-1.391993
18.5,-1.186962
18.6,-0.9680311
18.7,-0.7372479
18.8,-0.4967991
18.9,-0.24899
19.0,0.003777924
19.1,0.2590295
19.2,0.5142403
19.3,0.7668608
19.4,1.014342
19.5,1.254161
19.6,1.483847
19.7,1.701003
19.8,1.903336
19.9,2.088679
20.0,2.255008
20.1,2.400475
20.2,2.523418
20.3,2.622385
20.4,2.696147
20.5,2.743717
20.6,2.764358
20.7,2.757595
20.8,2.723224
20.9,2.66131
21.0,2.572199
21.1,2.456509
21.2,2.315131
21.3,2.149219
21.4,1.960186
21.5,1.749691
21.6,1.51962
21.7,1.272077
21.8,1.009359
21.9,0.7339401
22.0,0.4484431
22.1,0.1556193
22.2,-0.1416798
22.3,-0.4405294
22.4,-0.7379603
22.5,-1.030988
22.6,-1.316641
22.7,-1.591994
22.8,-1.854193
22.9,-2.100488
23.0,-2.328262
23.1,-2.535054
23.2,-2.718589
23.3,-2.876803
23.4,-3.007863
23.5,-3.110189
23.6,-3.182472
23.7,-3.223691
23.8,-3.233123
23.9,-3.210359
24.0,-3.155304
24.1,-3.068185
24.2,-2.949554
24.3,-2.80028
24.4,-2.621548
24.5,-2.414851
24.6,-2.181974
24.7,-1.92498
24.8,-1.646197
24.9,-1.348192
25.0,-1.033748
25.1,-0.7058433
25.2,-0.3676178
25.3,-0.0223468
25.4,0.3265916
25.5,0.6757489
25.6,1.02164
25.7,1.360778
25.8,1.689707
25.9,2.005042
26.0,2.303497
26.1,2.581922
26.2,2.837337
26.3,3.066962
26.4,3.268246
26.5,3.438896
26.6,3.576901
26.7,3.680559
26.8,3.74849
26.9,3.77966
27.0,3.773392
27.1,3.729373
27.2,3.647668
27.3,3.528717
27.4,3.373335
27.5,3.182711
27.6,2.958399
27.7,2.702301
27.8,2.416659
27.9,2.104031
28.0,1.76727
28.1,1.409499
28.2,1.034082
28.3,0.6445914
28.4,0.2447779
28.5,-0.1614687
28.6,-0.570155
28.7,-0.9772235
28.8,-1.378593
28.9,-1.770196
29.0,-2.148027
29.1,-2.508172
29.2,-2.846859
29.3,-3.160492
29.4,-3.445687
29.5,-3.699313
29.6,-3.918521
29.7,-4.100779
29.8,-4.243899
29.9,-4.346059
30.0,-4.405832
30.1,-4.422197
30.2,-4.394558
30.3,-4.322752
30.4,-4.207056
30.5,-4.048187
30.6,-3.847301
30.7,-3.605986
30.8,-3.326249
30.9,-3.0105
31.0,-2.661533
31.1,-2.282503
31.2,-1.876896
31.3,-1.448496
31.4,-1.001356
31.5,-0.5397545
31.6,-0.06815748
31.7,0.4088246
31.8,0.8864815
31.9,1.360049
32.0,1.824757
32.1,2.275876
32.2,2.708764
32.3,3.118916
32.4,3.502009
32.5,3.853947
32.6,4.170903
32.7,4.449364
32.8,4.686164
32.9,4.878522
33.0,5.024074
33.1,5.1209
33.2,5.167546
33.3,5.163045
33.4,5.106933
33.5,4.999255
33.6,4.840572
33.7,4.631961
33.8,4.375006
33.9,4.071792
34.0,3.724885
34.1,3.337316
34.2,2.912548
34.3,2.454454
34.4,1.967276
34.5,1.45559
34.6,0.9242615
34.7,0.3784019
34.8,-0.1766822
34.9,-0.7355388
35.0,-1.292624
35.1,-1.842356
35.2,-2.37917
35.3,-2.897578
35.4,-3.392217
35.5,-3.857909
35.6,-4.289716
35.7,-4.682986
35.8,-5.033407
35.9,-5.337051
36.0,-5.590421
36.1,-5.790482
36.2,-5.934706
36.3,-6.021095
36.4,-6.048209
36.5,-6.015186
36.6,-5.921757
36.7,-5.768251
36.8,-5.555602
36.9,-5.285346
37.0,-4.959605
37.1,-4.58108
37.2,-4.153025
37.3,-3.679221
37.4,-3.163944
37.5,-2.611927
37.6,-2.028316
37.7,-1.418625
37.8,-0.7886843
37.9,-0.1445823
38.0,0.5073889
38.1,1.160796
38.2,1.809127
38.3,2.445857
38.4,3.06451
38.5,3.658727
38.6,4.22233
38.7,4.749383
38.8,5.234259
38.9,5.671694
39.0,6.056846
39.1,6.385346
39.2,6.653348
39.3,6.857573
39.4,6.995343
39.5,7.064622
39.6,7.064032
39.7,6.992884
39.8,6.851183
39.9,6.639642
40.0,6.359676
